asignacion_id,fecha,bloque_noche,elegible_antes_asignacion,variante,mensaje,prepedido_completado,espera_entrega_min,cancelacion,valor_pedido_mxn
L8-X312,2027-11-18,L8-N052,1,B,confirmación_con_ventana,1,8.5,0,178.78
L8-X313,2027-11-19,L8-N053,1,A,confirmación_simple,1,6.1,0,233.06
L8-X314,2027-11-20,L8-N054,1,A,confirmación_simple,0,8.2,1,0.0
L8-X315,2027-11-21,L8-N055,1,A,confirmación_simple,0,7.5,0,0.0
L8-X316,2027-11-24,L8-N056,1,B,confirmación_con_ventana,1,8.4,0,196.18
L8-X317,2027-11-25,L8-N057,1,A,confirmación_simple,0,9.3,0,0.0
L8-X318,2027-11-26,L8-N058,1,A,confirmación_simple,1,7.8,0,240.57
L8-X319,2027-11-27,L8-N059,1,B,confirmación_con_ventana,1,6.6,0,276.02
L8-X320,2027-11-28,L8-N060,1,A,confirmación_simple,1,4.9,0,207.56
L8-X321,2027-12-01,L8-N061,1,B,confirmación_con_ventana,0,6.9,0,0.0
L8-X322,2027-12-02,L8-N062,1,B,confirmación_con_ventana,1,5.8,0,206.53
L8-X323,2027-12-03,L8-N063,1,B,confirmación_con_ventana,0,9.1,0,0.0
L8-X324,2027-12-04,L8-N064,1,A,confirmación_simple,1,6.5,0,228.08
L8-X325,2027-12-05,L8-N065,1,A,confirmación_simple,0,8.5,0,0.0
L8-X326,2027-12-08,L8-N066,1,B,confirmación_con_ventana,1,7.4,0,213.22
L8-X327,2027-12-09,L8-N067,1,B,confirmación_con_ventana,1,7.1,0,258.14
L8-X328,2027-12-10,L8-N068,1,A,confirmación_simple,1,7.1,0,233.27
L8-X329,2027-12-11,L8-N069,1,A,confirmación_simple,1,5.5,0,230.7
L8-X330,2027-12-12,L8-N070,1,A,confirmación_simple,1,8.1,0,201.08
L8-X331,2027-12-15,L8-N071,1,A,confirmación_simple,0,7.5,0,0.0
L8-X332,2027-12-16,L8-N072,1,B,confirmación_con_ventana,0,9.1,1,0.0
L8-X333,2027-12-17,L8-N073,1,A,confirmación_simple,1,8.3,0,204.98
L8-X334,2027-12-18,L8-N074,1,B,confirmación_con_ventana,1,7.7,0,192.08
L8-X335,2027-12-19,L8-N075,1,A,confirmación_simple,1,6.6,0,275.13
L8-X336,2027-12-22,L8-N076,1,A,confirmación_simple,0,7.7,0,0.0
L8-X337,2027-12-23,L8-N077,1,B,confirmación_con_ventana,1,8.9,0,181.28
L8-X338,2027-12-24,L8-N078,1,A,confirmación_simple,0,8.3,0,0.0
L8-X339,2027-12-25,L8-N079,1,A,confirmación_simple,1,7.2,0,183.26
L8-X340,2027-12-26,L8-N080,1,B,confirmación_con_ventana,0,9.4,0,0.0
L8-X341,2027-12-29,L8-N081,1,A,confirmación_simple,1,7.4,0,237.04
L8-X342,2027-12-30,L8-N082,1,B,confirmación_con_ventana,0,7.7,0,0.0
L8-X343,2027-12-31,L8-N083,1,A,confirmación_simple,1,6.0,0,189.85
L8-X344,2028-01-01,L8-N084,1,B,confirmación_con_ventana,1,8.2,0,210.34
L8-X345,2028-01-02,L8-N085,1,A,confirmación_simple,1,4.6,0,159.19
L8-X346,2028-01-05,L8-N086,1,B,confirmación_con_ventana,1,7.7,0,194.61
L8-X347,2028-01-06,L8-N087,1,A,confirmación_simple,1,9.6,0,188.19
L8-X348,2028-01-07,L8-N088,1,B,confirmación_con_ventana,1,7.6,0,233.74
L8-X349,2028-01-08,L8-N089,1,A,confirmación_simple,1,8.3,0,189.86
L8-X350,2028-01-09,L8-N090,1,B,confirmación_con_ventana,1,8.7,0,173.05
L8-X351,2028-01-12,L8-N091,1,B,confirmación_con_ventana,1,10.1,0,221.83
L8-X352,2028-01-13,L8-N092,1,B,confirmación_con_ventana,1,7.6,0,219.25
L8-X353,2028-01-14,L8-N093,1,B,confirmación_con_ventana,1,8.6,0,208.58
L8-X354,2028-01-15,L8-N094,1,B,confirmación_con_ventana,1,7.4,0,196.28
L8-X355,2028-01-16,L8-N095,1,A,confirmación_simple,1,6.8,0,114.42
L8-X356,2028-01-19,L8-N096,1,A,confirmación_simple,1,6.4,0,224.52
L8-X357,2028-01-20,L8-N097,1,B,confirmación_con_ventana,1,9.1,0,181.61
L8-X358,2028-01-21,L8-N098,1,B,confirmación_con_ventana,1,4.5,0,202.42
L8-X359,2028-01-22,L8-N099,1,A,confirmación_simple,1,9.9,0,253.82
L8-X360,2028-01-23,L8-N100,1,B,confirmación_con_ventana,1,9.8,0,232.88
L8-X361,2027-11-03,L8-N041,1,A,confirmación_simple,0,5.5,0,0.0
L8-X362,2027-11-04,L8-N042,1,A,confirmación_simple,1,8.6,0,197.99
L8-X363,2027-11-05,L8-N043,1,A,confirmación_simple,1,6.7,0,165.26
L8-X364,2027-11-06,L8-N044,1,A,confirmación_simple,0,4.9,0,0.0
L8-X365,2027-11-07,L8-N045,1,A,confirmación_simple,1,5.1,0,222.23
L8-X366,2027-11-10,L8-N046,1,B,confirmación_con_ventana,1,8.3,0,222.45
L8-X367,2027-11-11,L8-N047,1,B,confirmación_con_ventana,1,7.6,0,196.38
L8-X368,2027-11-12,L8-N048,1,B,confirmación_con_ventana,1,6.3,0,183.31
L8-X369,2027-11-13,L8-N049,1,A,confirmación_simple,1,8.3,0,182.45
L8-X370,2027-11-14,L8-N050,1,A,confirmación_simple,1,7.5,0,220.94
L8-X371,2027-11-17,L8-N051,1,A,confirmación_simple,1,5.7,0,123.47
L8-X372,2027-11-18,L8-N052,1,A,confirmación_simple,0,3.5,0,0.0
L8-X373,2027-11-19,L8-N053,1,A,confirmación_simple,1,7.5,0,209.29
L8-X374,2027-11-20,L8-N054,1,B,confirmación_con_ventana,1,8.8,0,210.43
L8-X375,2027-11-21,L8-N055,1,B,confirmación_con_ventana,1,9.5,0,222.4
L8-X376,2027-11-24,L8-N056,1,B,confirmación_con_ventana,1,7.8,0,192.32
L8-X377,2027-11-25,L8-N057,1,B,confirmación_con_ventana,1,6.0,0,218.1
L8-X378,2027-11-26,L8-N058,1,B,confirmación_con_ventana,1,6.3,0,164.39
L8-X379,2027-11-27,L8-N059,1,A,confirmación_simple,1,10.5,0,242.31
L8-X380,2027-11-28,L8-N060,1,B,confirmación_con_ventana,1,9.0,0,175.98
L8-X381,2027-12-01,L8-N061,1,A,confirmación_simple,1,5.3,0,207.49
L8-X382,2027-12-02,L8-N062,1,A,confirmación_simple,0,8.8,0,0.0
L8-X383,2027-12-03,L8-N063,1,B,confirmación_con_ventana,1,11.0,0,264.6
L8-X384,2027-12-04,L8-N064,1,B,confirmación_con_ventana,1,9.2,0,180.62
L8-X385,2027-12-05,L8-N065,1,B,confirmación_con_ventana,1,7.1,0,192.27
L8-X386,2027-12-08,L8-N066,1,A,confirmación_simple,0,9.2,0,0.0
L8-X387,2027-12-09,L8-N067,1,A,confirmación_simple,1,7.1,0,243.7
L8-X388,2027-12-10,L8-N068,1,A,confirmación_simple,0,8.9,0,0.0
L8-X389,2027-12-11,L8-N069,1,A,confirmación_simple,0,4.1,0,0.0
L8-X390,2027-12-12,L8-N070,1,B,confirmación_con_ventana,1,7.4,0,234.9
L8-X391,2027-12-15,L8-N071,1,B,confirmación_con_ventana,1,7.3,0,255.39
L8-X392,2027-12-16,L8-N072,1,B,confirmación_con_ventana,0,7.8,0,0.0
L8-X393,2027-12-17,L8-N073,1,B,confirmación_con_ventana,1,4.4,0,238.86
L8-X394,2027-12-18,L8-N074,1,B,confirmación_con_ventana,1,7.7,0,180.45
L8-X395,2027-12-19,L8-N075,1,B,confirmación_con_ventana,0,9.3,0,0.0
L8-X396,2027-12-22,L8-N076,1,B,confirmación_con_ventana,1,8.4,0,240.81
L8-X397,2027-12-23,L8-N077,1,B,confirmación_con_ventana,1,8.3,0,208.81
L8-X398,2027-12-24,L8-N078,1,B,confirmación_con_ventana,0,7.4,0,0.0
L8-X399,2027-12-25,L8-N079,1,A,confirmación_simple,0,8.6,1,0.0
L8-X400,2027-12-26,L8-N080,1,A,confirmación_simple,0,10.5,0,0.0
